session,split,n_frames,dot_valid,face_valid,left_eye_valid,right_eye_valid,all4,all4_pct
00236,train,1515,1515,1501,1143,1143,1143,0.7545
00237,train,1356,1356,1356,969,969,969,0.7146
00238,train,661,661,652,234,234,234,0.3540
00239,train,2429,2429,2424,2196,2196,2196,0.9041
00240,train,1638,1638,1624,1530,1530,1530,0.9341
00241,train,888,888,862,629,629,629,0.7083
00243,train,101,101,101,82,82,82,0.8119
00245,train,284,284,277,235,235,235,0.8275
00247,train,2169,2169,2154,2096,2096,2096,0.9663
00249,train,1449,1449,1425,1397,1397,1397,0.9641
00251,train,2576,2576,2553,1527,1527,1527,0.5928
00252,train,2688,2688,2688,2617,2617,2617,0.9736
00258,train,103,103,97,84,84,84,0.8155
00266,train,11,11,11,11,11,11,1.0000
00267,val,1439,1439,1434,1122,1122,1122,0.7797
00268,train,2415,2415,2160,711,711,711,0.2944
00269,train,2372,2372,2352,1348,1348,1348,0.5683
00273,train,2178,2178,2159,2134,2134,2134,0.9798
00274,train,1818,1818,1798,1629,1629,1629,0.8960
00285,train,2230,2230,2137,1843,1843,1843,0.8265
00288,train,2368,2368,2338,1840,1840,1840,0.7770
00289,train,99,99,94,74,74,74,0.7475
00295,train,24,24,24,22,22,22,0.9167
00296,train,472,472,456,415,415,415,0.8792
00299,train,2499,2499,2380,1917,1917,1917,0.7671
00300,train,1357,1357,1309,1281,1281,1281,0.9440
00303,train,53,53,51,41,41,41,0.7736
00304,train,1264,1264,1257,1094,1094,1094,0.8655
00305,train,2358,2358,2314,2091,2091,2091,0.8868
00307,train,92,92,84,13,13,13,0.1413
00309,train,2378,2378,2316,1017,1017,1017,0.4277
00310,train,506,506,493,419,419,419,0.8281
00311,train,51,51,50,24,24,24,0.4706
00312,train,1205,1205,1169,1124,1124,1124,0.9328
00317,train,105,105,103,99,99,99,0.9429
00319,test,2728,2728,2562,988,988,988,0.3622
00322,train,2493,2493,1820,903,903,903,0.3622
00324,train,2371,2371,2225,1492,1492,1492,0.6293
00325,train,3043,3043,2415,1480,1480,1480,0.4864
00326,train,3033,3033,2815,1789,1789,1789,0.5898
00330,test,1282,1282,1234,1103,1103,1103,0.8604
00331,train,564,564,517,295,295,295,0.5230
00332,train,518,518,497,400,400,400,0.7722
00339,train,45,45,44,43,43,43,0.9556
00342,train,303,303,303,303,303,303,1.0000
00343,test,1268,1268,1235,1076,1076,1076,0.8486
00351,train,2657,2657,2456,1341,1341,1341,0.5047
00354,train,69,69,65,60,60,60,0.8696
00355,train,581,581,543,510,510,510,0.8778
00356,train,2236,2236,2218,2100,2100,2100,0.9392
00357,train,2091,2091,2063,1870,1870,1870,0.8943
00358,train,3487,3487,3302,1979,1979,1979,0.5675
00359,train,1474,1474,1330,855,855,855,0.5801
00363,train,2287,2287,2098,1890,1890,1890,0.8264
00376,train,1821,1821,1794,1613,1613,1613,0.8858
00377,train,2515,2515,2236,1426,1426,1426,0.5670
00382,test,2726,2726,2585,2418,2418,2418,0.8870
00383,train,124,124,95,19,19,19,0.1532
00459,train,638,638,638,427,427,427,0.6693
00460,test,313,313,303,79,79,79,0.2524
00463,train,1293,1293,1255,1077,1077,1077,0.8329
00465,train,306,306,278,215,215,215,0.7026
00466,train,343,343,330,311,311,311,0.9067
00467,train,135,135,103,54,54,54,0.4000
00469,train,889,889,781,531,531,531,0.5973
00471,val,2081,2081,1899,510,510,510,0.2451
00472,train,2130,2130,2022,1510,1510,1510,0.7089
00473,train,446,446,423,245,245,245,0.5493
00475,train,323,323,272,48,48,48,0.1486
00477,train,2358,2358,2356,2345,2345,2345,0.9945
00480,train,2893,2893,2813,1937,1937,1937,0.6695
00481,train,2128,2128,2009,1364,1364,1364,0.6410
00487,train,962,962,955,897,897,897,0.9324
00488,train,2079,2079,2001,1526,1526,1526,0.7340
00491,train,364,364,355,318,318,318,0.8736
00492,train,437,437,412,293,293,293,0.6705
00493,train,2152,2152,1919,696,696,696,0.3234
00494,train,1931,1931,1481,843,843,843,0.4366
00495,train,2145,2145,1810,884,884,884,0.4121
00496,train,1262,1262,835,42,42,42,0.0333
00499,train,1024,1024,835,646,646,646,0.6309
00500,train,598,598,592,563,563,563,0.9415
00501,train,1127,1127,787,329,329,329,0.2919
00503,train,3049,3049,3009,2563,2563,2563,0.8406
00505,train,2851,2851,2293,1226,1226,1226,0.4300
00507,val,2632,2632,2617,2009,2009,2009,0.7633
00509,test,2815,2815,2654,1642,1642,1642,0.5833
00510,train,2435,2435,2154,65,65,65,0.0267
00511,test,409,409,399,382,382,382,0.9340
00512,train,889,889,727,432,432,432,0.4859
00513,train,2742,2742,2612,1792,1792,1792,0.6535
00514,train,2070,2070,1703,768,768,768,0.3710
00518,train,299,299,263,259,259,259,0.8662
00519,train,2505,2505,2233,12,12,12,0.0048
00520,train,1585,1585,1557,1499,1499,1499,0.9457
00521,train,1351,1351,1314,1108,1108,1108,0.8201
00522,train,2471,2471,2196,8,8,8,0.0032
00525,train,1252,1252,1062,698,698,698,0.5575
00531,train,1076,1076,973,762,762,762,0.7082
00533,train,326,326,307,223,223,223,0.6840
00534,train,2406,2406,2255,1548,1548,1548,0.6434
00535,train,2459,2459,2319,1694,1694,1694,0.6889
00539,train,1679,1679,1427,725,725,725,0.4318
00540,train,2707,2707,2418,1635,1635,1635,0.6040
00542,train,156,156,143,125,125,125,0.8013
00544,train,143,143,143,141,141,141,0.9860
00545,train,1053,1053,1009,917,917,917,0.8708
00546,test,3590,3590,3515,2371,2371,2371,0.6604
00547,val,2365,2365,1995,472,472,472,0.1996
00548,train,2136,2136,2117,1965,1965,1965,0.9199
00549,train,326,326,298,287,287,287,0.8804
00550,train,2197,2197,2088,1336,1336,1336,0.6081
00553,train,1209,1209,927,240,240,240,0.1985
00554,train,1044,1044,1005,737,737,737,0.7059
00555,train,2277,2277,2270,1402,1402,1402,0.6157
00560,train,2126,2126,1688,578,578,578,0.2719
00562,train,1786,1786,1706,1507,1507,1507,0.8438
00563,test,2802,2802,2660,1771,1771,1771,0.6320
00565,train,2118,2118,1844,797,797,797,0.3763
00566,train,2098,2098,2013,1285,1285,1285,0.6125
00569,train,2339,2339,1531,217,217,217,0.0928
00572,train,866,866,860,847,847,847,0.9781
00574,train,2512,2512,2425,1768,1768,1768,0.7038
00575,train,1412,1412,1206,970,970,970,0.6870
00578,train,105,105,100,93,93,93,0.8857
00580,test,2686,2686,2569,2012,2012,2012,0.7491
00581,train,2637,2637,1837,715,715,715,0.2711
00584,train,179,179,147,119,119,119,0.6648
00585,test,1230,1230,1165,732,732,732,0.5951
00588,train,727,727,725,612,612,612,0.8418
00590,train,289,289,264,120,120,120,0.4152
00595,train,2133,2133,1713,810,810,810,0.3797
00597,train,1689,1689,1492,1079,1079,1079,0.6388
00599,train,317,317,317,317,317,317,1.0000
00600,train,2290,2290,2166,1812,1812,1812,0.7913
00601,train,2510,2510,2020,723,723,723,0.2880
00602,train,2630,2630,2383,1045,1045,1045,0.3973
00605,train,2431,2431,2037,898,898,898,0.3694
00606,train,1467,1467,1430,1109,1109,1109,0.7560
00607,train,2017,2017,1952,1527,1527,1527,0.7571
00610,train,2535,2535,2369,1652,1652,1652,0.6517
00611,test,1983,1983,1932,1721,1721,1721,0.8679
00613,train,373,373,357,301,301,301,0.8070
00616,test,2700,2700,2424,1481,1481,1481,0.5485
00617,train,217,217,203,157,157,157,0.7235
00618,val,1735,1735,1406,565,565,565,0.3256
00619,test,2978,2978,2355,687,687,687,0.2307
00621,train,139,139,103,91,91,91,0.6547
00622,train,1043,1043,791,504,504,504,0.4832
00623,train,2200,2200,2187,2118,2118,2118,0.9627
00624,train,1963,1963,1797,869,869,869,0.4427
00626,train,2376,2376,2275,1172,1172,1172,0.4933
00627,train,197,197,101,47,47,47,0.2386
00632,train,172,172,111,68,68,68,0.3953
00633,train,36,36,34,34,34,34,0.9444
00634,train,284,284,265,230,230,230,0.8099
00636,train,1167,1167,949,356,356,356,0.3051
00638,train,365,365,262,78,78,78,0.2137
00641,train,2540,2540,2126,1215,1215,1215,0.4783
00642,train,1435,1435,1374,1097,1097,1097,0.7645
00643,train,323,323,298,240,240,240,0.7430
00644,train,1922,1922,1767,1067,1067,1067,0.5552
00645,train,361,361,339,143,143,143,0.3961
00646,test,2403,2403,2122,1020,1020,1020,0.4245
00649,train,87,87,87,87,87,87,1.0000
00650,train,2655,2655,2211,982,982,982,0.3699
00653,test,2313,2313,2200,1672,1672,1672,0.7229
00654,test,2445,2445,1895,740,740,740,0.3027
00658,train,359,359,340,272,272,272,0.7577
00661,train,936,936,858,698,698,698,0.7457
00663,train,583,583,411,184,184,184,0.3156
00666,train,582,582,572,67,67,67,0.1151
00667,train,2357,2357,2283,1184,1184,1184,0.5023
00668,train,2020,2020,1996,1933,1933,1933,0.9569
00669,train,2367,2367,2243,1702,1702,1702,0.7191
00670,train,124,124,116,114,114,114,0.9194
00672,train,892,892,880,839,839,839,0.9406
00675,train,61,61,54,51,51,51,0.8361
00676,train,1086,1086,913,215,215,215,0.1980
00677,train,304,304,304,280,280,280,0.9211
00678,train,2284,2284,2169,1607,1607,1607,0.7036
00679,train,2970,2970,2597,1359,1359,1359,0.4576
00680,test,1393,1393,780,163,163,163,0.1170
00682,train,2132,2132,1826,403,403,403,0.1890
00683,train,2031,2031,1739,826,826,826,0.4067
00686,test,1287,1287,1074,425,425,425,0.3302
00687,train,171,171,171,171,171,171,1.0000
00688,train,1350,1350,1168,763,763,763,0.5652
00690,train,924,924,907,835,835,835,0.9037
00691,train,2730,2730,2720,2250,2250,2250,0.8242
00693,train,73,73,65,48,48,48,0.6575
00694,train,887,887,842,624,624,624,0.7035
00695,train,974,974,901,752,752,752,0.7721
00696,train,2227,2227,1837,1211,1211,1211,0.5438
00699,train,201,201,191,155,155,155,0.7711
00700,test,2160,2160,2006,300,300,300,0.1389
00704,train,2518,2518,2011,852,852,852,0.3384
00706,train,2104,2104,2055,1419,1419,1419,0.6744
00707,train,232,232,220,192,192,192,0.8276
00710,train,1823,1823,1422,444,444,444,0.2436
00711,train,342,342,337,150,150,150,0.4386
00712,train,2048,2048,2024,1533,1533,1533,0.7485
00714,train,1743,1743,1734,1720,1720,1720,0.9868
00716,train,313,313,191,101,101,101,0.3227
00718,train,2221,2221,2098,1269,1269,1269,0.5714
00719,train,2317,2317,2308,2306,2306,2306,0.9953
00721,test,1126,1126,1017,779,779,779,0.6918
00722,train,1828,1828,1735,1033,1033,1033,0.5651
00728,train,155,155,140,116,116,116,0.7484
00729,train,1209,1209,1207,906,906,906,0.7494
00730,train,1181,1181,1036,800,800,800,0.6774
00731,train,311,311,292,278,278,278,0.8939
00732,train,2323,2323,1980,1031,1031,1031,0.4438
00733,train,392,392,366,297,297,297,0.7577
00737,train,1822,1822,1647,1450,1450,1450,0.7958
00740,train,1968,1968,1884,1170,1170,1170,0.5945
00741,test,1933,1933,1919,1461,1461,1461,0.7558
00742,train,327,327,326,267,267,267,0.8165
00743,train,2334,2334,2049,1215,1215,1215,0.5206
00745,train,312,312,293,93,93,93,0.2981
00746,val,2123,2123,1399,563,563,563,0.2652
00747,train,2018,2018,1953,1501,1501,1501,0.7438
00748,train,2467,2467,2120,1557,1557,1557,0.6311
00749,train,423,423,409,328,328,328,0.7754
00750,train,2117,2117,2096,880,880,880,0.4157
00752,train,326,326,310,300,300,300,0.9202
00753,train,2211,2211,2056,1110,1110,1110,0.5020
00755,train,1229,1229,1161,664,664,664,0.5403
00756,train,321,321,258,121,121,121,0.3769
00757,train,2287,2287,1907,1277,1277,1277,0.5584
00764,train,1009,1009,906,539,539,539,0.5342
00765,train,331,331,327,234,234,234,0.7069
00767,train,2171,2171,2121,1497,1497,1497,0.6895
00771,train,1270,1270,1034,606,606,606,0.4772
00772,train,2179,2179,1798,1088,1088,1088,0.4993
00773,train,1006,1006,952,928,928,928,0.9225
00774,train,146,146,119,34,34,34,0.2329
00775,train,1863,1863,1829,1620,1620,1620,0.8696
00776,val,2056,2056,2005,1535,1535,1535,0.7466
00777,test,1001,1001,933,771,771,771,0.7702
00779,train,2280,2280,1755,699,699,699,0.3066
00789,train,2301,2301,2104,1418,1418,1418,0.6163
00790,train,1789,1789,1743,1522,1522,1522,0.8508
00791,train,305,305,218,149,149,149,0.4885
00795,train,1585,1585,1522,1112,1112,1112,0.7016
00796,test,2924,2924,2789,2576,2576,2576,0.8810
00798,train,355,355,274,61,61,61,0.1718
00801,train,356,356,307,184,184,184,0.5169
00802,train,2117,2117,2039,1244,1244,1244,0.5876
00803,val,321,321,294,25,25,25,0.0779
00804,train,2912,2912,2890,2850,2850,2850,0.9787
00806,train,2152,2152,2063,1408,1408,1408,0.6543
00807,train,157,157,153,137,137,137,0.8726
00808,train,1907,1907,1614,1217,1217,1217,0.6382
00810,train,935,935,863,321,321,321,0.3433
00811,train,2672,2672,2480,1629,1629,1629,0.6097
00812,train,2293,2293,2071,1541,1541,1541,0.6720
00814,train,1976,1976,1601,856,856,856,0.4332
00818,train,1097,1097,872,401,401,401,0.3655
00819,train,111,111,95,72,72,72,0.6486
00820,train,989,989,937,762,762,762,0.7705
00821,train,2663,2663,2534,925,925,925,0.3474
00823,train,2148,2148,1941,959,959,959,0.4465
00825,train,85,85,82,66,66,66,0.7765
00827,train,699,699,617,246,246,246,0.3519
00828,train,179,179,179,149,149,149,0.8324
00831,train,2115,2115,2040,1326,1326,1326,0.6270
00832,train,319,319,308,212,212,212,0.6646
00833,train,1982,1982,1897,1040,1040,1040,0.5247
00835,train,2656,2656,2656,2229,2229,2229,0.8392
00837,train,2977,2977,2773,1647,1647,1647,0.5532
00840,train,2926,2926,2840,1566,1566,1566,0.5352
00841,train,156,156,106,66,66,66,0.4231
00842,train,692,692,605,369,369,369,0.5332
00849,train,355,355,326,162,162,162,0.4563
00850,train,773,773,727,604,604,604,0.7814
00851,train,1957,1957,1786,956,956,956,0.4885
00852,train,2107,2107,1841,643,643,643,0.3052
00853,train,723,723,560,305,305,305,0.4219
00855,train,2114,2114,1965,1042,1042,1042,0.4929
00859,train,2532,2532,2336,723,723,723,0.2855
00861,train,1870,1870,1835,1627,1627,1627,0.8701
00864,train,2098,2098,2084,1527,1527,1527,0.7278
00865,train,2045,2045,1981,1228,1228,1228,0.6005
00868,test,2543,2543,2300,1063,1063,1063,0.4180
00869,train,2150,2150,1757,1232,1232,1232,0.5730
00872,train,349,349,346,317,317,317,0.9083
00873,train,266,266,266,212,212,212,0.7970
00874,train,2134,2134,2094,1512,1512,1512,0.7085
00875,train,1316,1316,1063,591,591,591,0.4491
00876,test,630,630,558,505,505,505,0.8016
00878,train,2481,2481,2303,1701,1701,1701,0.6856
00880,test,2400,2400,2148,1443,1443,1443,0.6012
00881,train,1962,1962,1758,1437,1437,1437,0.7324
00882,train,1536,1536,1530,1396,1396,1396,0.9089
00886,train,211,211,208,86,86,86,0.4076
00888,train,1996,1996,1933,1522,1522,1522,0.7625
00889,train,372,372,364,224,224,224,0.6022
00890,train,773,773,773,757,757,757,0.9793
00891,train,775,775,692,510,510,510,0.6581
00892,train,2140,2140,2043,1157,1157,1157,0.5407
00894,train,839,839,637,345,345,345,0.4112
00896,train,1795,1795,1624,1193,1193,1193,0.6646
00897,train,1001,1001,928,757,757,757,0.7562
00898,train,2010,2010,1752,744,744,744,0.3701
00899,train,2353,2353,2026,674,674,674,0.2864
00900,train,2978,2978,2858,2085,2085,2085,0.7001
00904,train,1111,1111,955,725,725,725,0.6526
00905,train,2382,2382,2207,1728,1728,1728,0.7254
00907,train,2238,2238,2121,1571,1571,1571,0.7020
00911,train,2220,2220,2194,2129,2129,2129,0.9590
00912,train,2255,2255,2020,1504,1504,1504,0.6670
00914,train,408,408,400,397,397,397,0.9730
00915,train,1012,1012,1004,864,864,864,0.8538
00921,test,2287,2287,2191,1652,1652,1652,0.7223
00923,train,304,304,288,275,275,275,0.9046
00924,train,2023,2023,2004,1784,1784,1784,0.8819
00926,val,918,918,858,713,713,713,0.7767
00927,train,3008,3008,2601,1522,1522,1522,0.5060
00930,train,325,325,325,134,134,134,0.4123
00931,train,991,991,964,714,714,714,0.7205
00932,test,2288,2288,2279,2216,2216,2216,0.9685
00933,train,2542,2542,1906,786,786,786,0.3092
00934,train,2261,2261,2096,1159,1159,1159,0.5126
00935,test,1492,1492,1488,1483,1483,1483,0.9940
00938,train,409,409,405,364,364,364,0.8900
00939,train,16,16,16,15,15,15,0.9375
00944,train,2395,2395,1839,286,286,286,0.1194
00945,train,2849,2849,2621,2138,2138,2138,0.7504
00947,train,2180,2180,2153,1844,1844,1844,0.8459
00948,train,2529,2529,2363,1558,1558,1558,0.6161
00949,test,2144,2144,2032,1182,1182,1182,0.5513
00953,test,2888,2888,2677,1927,1927,1927,0.6672
00955,train,13,13,13,13,13,13,1.0000
00956,train,381,381,320,165,165,165,0.4331
00960,val,2448,2448,2187,1562,1562,1562,0.6381
00961,train,362,362,352,274,274,274,0.7569
00963,train,868,868,849,508,508,508,0.5853
00965,test,297,297,285,231,231,231,0.7778
00968,test,342,342,310,222,222,222,0.6491
00969,train,1079,1079,919,539,539,539,0.4995
00971,train,1671,1671,1529,744,744,744,0.4452
00974,train,2836,2836,2380,1031,1031,1031,0.3635
00976,train,2302,2302,2170,1448,1448,1448,0.6290
00980,train,3529,3529,3305,648,648,648,0.1836
00981,train,2809,2809,2678,2231,2231,2231,0.7942
00982,train,161,161,115,23,23,23,0.1429
00983,train,1070,1070,866,647,647,647,0.6047
00984,train,172,172,97,9,9,9,0.0523
00986,train,552,552,498,350,350,350,0.6341
00989,train,355,355,318,236,236,236,0.6648
00991,train,1571,1571,1508,1418,1418,1418,0.9026
00992,train,1259,1259,1118,16,16,16,0.0127
00997,train,108,108,108,83,83,83,0.7685
00998,train,207,207,176,162,162,162,0.7826
00999,train,2105,2105,1701,885,885,885,0.4204
01000,train,1227,1227,1117,580,580,580,0.4727
01001,train,629,629,604,493,493,493,0.7838
01002,train,928,928,869,750,750,750,0.8082
01003,train,2403,2403,2088,686,686,686,0.2855
01009,train,2089,2089,1966,1411,1411,1411,0.6754
01010,train,2199,2199,1827,1011,1011,1011,0.4598
01012,train,298,298,284,263,263,263,0.8826
01015,train,2828,2828,2728,2333,2333,2333,0.8250
01018,train,335,335,270,126,126,126,0.3761
01019,train,2220,2220,2172,1049,1049,1049,0.4725
01020,train,1001,1001,959,759,759,759,0.7582
01021,train,2497,2497,2237,874,874,874,0.3500
01022,train,112,112,106,67,67,67,0.5982
01024,train,2061,2061,1993,1623,1623,1623,0.7875
01025,train,850,850,850,650,650,650,0.7647
01029,train,188,188,165,144,144,144,0.7660
01030,train,1553,1553,1251,586,586,586,0.3773
01031,train,292,292,264,150,150,150,0.5137
01032,train,369,369,341,241,241,241,0.6531
01034,train,2647,2647,2528,1783,1783,1783,0.6736
01035,train,1354,1354,1043,311,311,311,0.2297
01036,test,1170,1170,1042,423,423,423,0.3615
01038,train,131,131,118,36,36,36,0.2748
01039,train,297,297,282,232,232,232,0.7811
01041,test,2252,2252,2032,508,508,508,0.2256
01042,train,2670,2670,2301,692,692,692,0.2592
01044,train,1067,1067,1045,1000,1000,1000,0.9372
01045,train,2408,2408,2398,2334,2334,2334,0.9693
01046,train,3018,3018,2912,2504,2504,2504,0.8297
01050,train,2121,2121,2024,1216,1216,1216,0.5733
01051,test,2027,2027,1997,1774,1774,1774,0.8752
01052,train,854,854,796,386,386,386,0.4520
01054,train,2889,2889,2832,2466,2466,2466,0.8536
01055,train,2704,2704,2703,1891,1891,1891,0.6993
01056,train,982,982,869,417,417,417,0.4246
01057,train,403,403,400,301,301,301,0.7469
01058,train,2560,2560,2332,1023,1023,1023,0.3996
01059,train,245,245,215,119,119,119,0.4857
01060,train,304,304,252,184,184,184,0.6053
01062,train,2404,2404,1537,650,650,650,0.2704
01063,train,2409,2409,1716,226,226,226,0.0938
01064,train,270,270,270,243,243,243,0.9000
01065,train,2110,2110,2072,1693,1693,1693,0.8024
01066,train,2579,2579,1550,414,414,414,0.1605
01069,train,571,571,571,559,559,559,0.9790
01070,train,283,283,283,267,267,267,0.9435
01073,train,1601,1601,1585,1276,1276,1276,0.7970
01075,train,248,248,248,152,152,152,0.6129
01076,train,238,238,210,181,181,181,0.7605
01077,train,2569,2569,2490,1962,1962,1962,0.7637
01080,train,1321,1321,949,223,223,223,0.1688
01081,train,426,426,394,219,219,219,0.5141
01082,train,296,296,295,197,197,197,0.6655
01083,train,2173,2173,2027,1592,1592,1592,0.7326
01084,train,1605,1605,1494,661,661,661,0.4118
01085,train,2823,2823,2684,2125,2125,2125,0.7527
01086,train,1567,1567,1505,1387,1387,1387,0.8851
01087,train,18,18,18,18,18,18,1.0000
01088,train,381,381,354,245,245,245,0.6430
01089,train,378,378,233,154,154,154,0.4074
01090,train,2827,2827,2243,1090,1090,1090,0.3856
01091,test,861,861,699,509,509,509,0.5912
01092,train,1931,1931,1838,1452,1452,1452,0.7519
01093,train,1146,1146,769,294,294,294,0.2565
01095,train,1841,1841,1789,1331,1331,1331,0.7230
01099,train,185,185,147,68,68,68,0.3676
01100,train,1512,1512,1450,1272,1272,1272,0.8413
01102,train,105,105,105,75,75,75,0.7143
01103,val,2504,2504,2424,1759,1759,1759,0.7025
01104,train,1720,1720,1595,1346,1346,1346,0.7826
01105,train,965,965,886,766,766,766,0.7938
01106,train,355,355,349,311,311,311,0.8761
01107,train,2477,2477,2461,2406,2406,2406,0.9713
01109,train,186,186,165,103,103,103,0.5538
01110,train,1800,1800,1620,1089,1089,1089,0.6050
01118,train,2398,2398,2255,1544,1544,1544,0.6439
01119,val,2384,2384,2358,2260,2260,2260,0.9480
01120,train,2097,2097,1838,757,757,757,0.3610
01121,train,1635,1635,1498,661,661,661,0.4043
01122,train,2262,2262,2218,2070,2070,2070,0.9151
01123,train,2183,2183,1773,860,860,860,0.3940
01126,train,317,317,290,201,201,201,0.6341
01127,train,1868,1868,1718,1316,1316,1316,0.7045
01128,train,842,842,742,473,473,473,0.5618
01129,train,1784,1784,1425,514,514,514,0.2881
01134,train,2210,2210,2187,1866,1866,1866,0.8443
01135,train,2611,2611,2453,1476,1476,1476,0.5653
01138,train,979,979,943,677,677,677,0.6915
01139,train,2950,2950,2557,1123,1123,1123,0.3807
01143,train,2219,2219,1774,1197,1197,1197,0.5394
01145,train,289,289,273,201,201,201,0.6955
01146,train,1012,1012,916,667,667,667,0.6591
01147,train,2901,2901,2621,1449,1449,1449,0.4995
01148,test,1202,1202,1101,1000,1000,1000,0.8319
01149,train,2015,2015,1963,1479,1479,1479,0.7340
01151,train,715,715,703,638,638,638,0.8923
01152,test,2900,2900,2524,1457,1457,1457,0.5024
01155,test,2074,2074,1872,962,962,962,0.4638
01156,train,2277,2277,1721,249,249,249,0.1094
01157,train,1930,1930,1874,1270,1270,1270,0.6580
01158,train,1569,1569,1433,965,965,965,0.6150
01161,train,1242,1242,908,537,537,537,0.4324
01162,train,1147,1147,1015,784,784,784,0.6835
01163,train,1045,1045,997,732,732,732,0.7005
01164,train,2028,2028,1883,1018,1018,1018,0.5020
01165,train,2308,2308,1982,1019,1019,1019,0.4415
01166,train,1859,1859,1847,1584,1584,1584,0.8521
01167,train,154,154,154,36,36,36,0.2338
01168,train,166,166,165,123,123,123,0.7410
01169,train,130,130,117,89,89,89,0.6846
01170,train,2457,2457,2239,1680,1680,1680,0.6838
01171,train,2924,2924,2805,1572,1572,1572,0.5376
01172,train,2237,2237,2183,1938,1938,1938,0.8663
01173,train,792,792,761,504,504,504,0.6364
01174,train,1641,1641,1451,995,995,995,0.6063
01175,train,2511,2511,2140,1009,1009,1009,0.4018
01177,train,273,273,245,167,167,167,0.6117
